CLAUDE	GPT-4o SISTEMA	Completos #1	Completos #2	Completos #3	Completos #4	Completos #5
	0	0	0	0	0	0
	0	0	0	0	0	0
1	1	1	1	32	12	2
0	1,5	1	2	15	1	1
12	1	1	1	1	1	1
1	32	32	32	4	37	32
31	16	32	20	1	30	1
45	49	47	33	33	33	50
69	74	89	70	89	99	86
88	100	74	74	70	93	74
41	34	32	37	1	37	37
34	51	65	69	50	64	67
41	51	50	51	51	51	51
54	74	76	72	74	75	68
	89	94	94	94	94	94
49	52	51	72	1	74	34
34	28	0	15	32	16	0
29	32	34	31	34	50	34
86	76	76	72	72	100	72
39	10	37	51	56	41	51
34	52	52	52	34	52	38
34	37	34	34	37	34	34
29	38	52	37	51	37	37
34	38	34	34	32	32	32
18	0	0	0	0	33	0
46	50	54	51	51	52	72
29	34	52	34	52	32	32
34	50	49	51	50	50	52
29	31	30	19	31	14	31
0	1	1	1	1	1	1
85	100	100	94	75	94	93
	37	34	37	34	37	37
34	50	73	54	72	73	72
49	52	52	52	54	52	52
48	72	72	72	72	72	72
50	52	73	75	55	70	54
26	37	31	34	37	50	34
34	44	38	28	31	31	36
34	1	1	2	1	1	1
54	34	37	34	40	40	37
31	71	67	69	53	53	53
26	34	34	34	34	34	34
100	94	94	94	100	94	100
94	93	93	93	93	93	93
74	74	74	74	72	74	74
47	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
51	2	15	1	1	1	2
37	1	26	26	1	26	1
45	51	37	37	1	37	51
34	0	1	0	1	0	1
34	50	52	50	52	54	52
29	34	1	0	1	1	32
	63	56	73	61	71	73
34	52	34	40	40	40	56
74	74	74	74	74	0	74
29	31	31	50	34	34	50
29	48	50	50	50	50	34
34	56	52	55	52	52	37
52	32	32	32	36	32	69
0	1	1	1	1	1	1
36	38	38	52	38	44	38
35	40	40	34	40	37	32
34	48	34	37	48	50	50
64	74	72	72	66	72	72
49	52	71	52	52	73	71
29	33	1	32	1	32	1
52	64	65	54	50	69	65
34	32	32	31	32	0	32
36	37	38	37	37	40	37
95	93	99	99	99	99	74
86	94	74	74	100	93	75
34	48	50	50	34	50	50
22	12	12	32	12	17	13
1	1	1	1	1	1	1
50	1	37	37	73	1	37
34	32	37	34	34	32	31
31	37	33	37	37	34	37
50	57	64	57	64	64	57
87	100	100	100	100	100	100
71	32	31	40	40	34	32
29	34	1	39	32	1	1
87	97	99	89	89	89	85
12	1	1	1	1	1	1
34	52	52	52	50	52	52
52	34	65	69	37	52	37
34	37	47	50	37	37	37
34	73	73	71	71	69	71
51	52	52	52	51	51	51
0	1	32	32	1	0	32
68	73	73	73	73	73	73
74	74	74	73	93	88	74
52	50	67	64	69	50	50
90	94	94	94	94	100	89
86	74	74	93	88	93	93
71	74	74	71	74	72	70
68	38	37	34	33	20	33
65	52	40	52	51	52	52
29	38	33	33	33	0	34
54	52	40	40	52	38	52
49	53	65	66	66	0	64
36	47	47	51	64	50	43
42	44	51	50	39	50	50
65	50	71	51	54	52	51
80	72	60	0	72	47	52
65	74	10	73	51	1	1
47	38	40	38	40	38	34
76	52	56	72	52	57	52
34	34	34	37	31	28	38
34	1	34	32	1	1	32
0	0	0	0	0	0	0
0	0	0	0	0	0	0
62	94	74	94	74	0	94
	80	61	63	64	63	64
14	32	32	14	29	31	29
15	1	29	32	32	31	32
26	31	28	32	28	32	32
34	51	48	0	51	51	38
34	32	33	0	32	33	33
1	2	2	1	2	1	32
74	72	72	68	72	72	72
32	52	33	40	37	37	33
1	1	1	1	1	1	1
37	54	51	50	50	52	50
54	52	52	52	52	72	52
53	51	52	50	37	34	51
27	32	32	50	32	0	32
0	1	1	0	1	0	1
34	37	37	51	52	0	51
34	38	32	32	38	38	32
34	17	32	17	17	32	13
29	51	51	0	51	54	51
54	72	75	54	66	70	70
66	52	52	52	72	72	51
34	34	32	0	33	40	40
41	50	52	50	50	52	52
53	51	71	59	52	55	51
1	1	1	1	1	2	34
0	1	1	2	2	1	15
34	37	52	34	50	34	34
53	37	52	37	37	0	37
69	73	72	74	72	73	73
1	1	1	0	1	1	1
34	52	52	52	72	51	52
1	1	1	1	1	1	1
33	50	33	33	49	33	33
33	1	33	33	33	47	33
85	75	100	100	75	75	100
36	99	94	99	100	99	99
34	52	51	32	37	32	37
29	0	31	0	0	1	28
82	74	74	74	74	74	72
51	52	52	51	68	51	52
51	71	70	74	70	74	66
72	52	31	51	50	50	51
50	63	43	52	52	0	43
34	47	33	34	34	0	33
34	1	72	72	56	40	40
54	70	72	74	70	86	72
24	69	52	69	54	54	59
23	15	28	31	15	15	15
29	33	52	0	49	50	52
1	0	34	0	30	30	0
34	30	1	0	14	16	32
64	54	54	67	50	0	54
53	37	34	37	37	0	37
34	33	34	33	50	50	50
46	50	50	54	52	54	50
88	88	74	93	88	74	75
73	74	47	56	72	0	72
30	1	1	0	0	19	28
0	2	2	2	1	2	2
34	50	67	50	50	50	50
29	1	1	1	1	1	1
76	90	60	93	72	72	74
53	51	1	50	50	0	50
76	33	40	40	33	37	37
66	56	38	40	40	74	52
1	1	1	1	1	1	1
38	50	34	50	33	34	34
32	41	51	41	61	51	51
49	50	51	1	51	50	51
26	37	40	52	52	34	52
16	1	1	1	1	0	1
34	38	35	52	37	38	38
33	32	32	32	32	32	32
34	38	38	38	52	38	38
34	50	51	50	51	50	51
54	52	37	37	37	52	50
34	37	29	32	32	32	0
74	74	75	74	74	74	74
2	2	1	2	1	1	2
34	51	52	52	50	50	51
1	36	1	1	37	37	1
45	50	71	69	71	64	50
23	34	32	32	34	52	34
26	32	2	32	71	31	68
84	86	70	99	94	86	99
34	34	74	0	74	74	52
24	35	27	37	25	51	61
	1	50	0	0	1	1
